id,order,masc,stim,cond
49,4,5,Slide32.bmp,4
49,5,5,Slide32.bmp,4
49,6,7,Slide32.bmp,4
50,1,3,Slide32.bmp,5
50,2,1,Slide32.bmp,5
50,3,5,Slide32.bmp,5
50,4,6,Slide32.bmp,5
50,5,8,Slide32.bmp,5
50,6,2,Slide32.bmp,5
51,1,1,Slide32.bmp,1
51,2,3,Slide32.bmp,1
51,3,8,Slide32.bmp,1
51,4,5,Slide32.bmp,1
51,5,2,Slide32.bmp,1
51,6,7,Slide32.bmp,1
52,1,7,Slide32.bmp,2
52,2,5,Slide32.bmp,2
52,3,6,Slide32.bmp,2
52,4,6,Slide32.bmp,2
52,5,8,Slide32.bmp,2
52,6,6,Slide32.bmp,2
53,1,1,Slide32.bmp,3
53,2,5,Slide32.bmp,3
53,3,5,Slide32.bmp,3
53,4,9,Slide32.bmp,3
53,5,9,Slide32.bmp,3
53,6,9,Slide32.bmp,3
54,1,9,Slide32.bmp,4
54,2,9,Slide32.bmp,4
54,3,5,Slide32.bmp,4
54,4,9,Slide32.bmp,4
54,5,9,Slide32.bmp,4
54,6,5,Slide32.bmp,4
55,1,2,Slide32.bmp,5
55,2,4,Slide32.bmp,5
55,3,4,Slide32.bmp,5
55,4,3,Slide32.bmp,5
55,5,3,Slide32.bmp,5
55,6,1,Slide32.bmp,5
56,1,2,Slide32.bmp,1
56,2,5,Slide32.bmp,1
56,3,7,Slide32.bmp,1
56,4,8,Slide32.bmp,1
56,5,6,Slide32.bmp,1
56,6,6,Slide32.bmp,1
57,1,7,Slide32.bmp,2
57,2,5,Slide32.bmp,2
57,3,6,Slide32.bmp,2
57,4,8,Slide32.bmp,2
57,5,4,Slide32.bmp,2
57,6,7,Slide32.bmp,2
59,1,1,Slide32.bmp,4
59,2,2,Slide32.bmp,4
59,3,2,Slide32.bmp,4
59,4,1,Slide32.bmp,4
59,5,2,Slide32.bmp,4
59,6,5,Slide32.bmp,4
60,1,5,Slide32.bmp,5
60,2,5,Slide32.bmp,5
60,3,7,Slide32.bmp,5
60,4,5,Slide32.bmp,5
60,5,6,Slide32.bmp,5
60,6,8,Slide32.bmp,5
61,1,9,Slide32.bmp,1
61,2,5,Slide32.bmp,1
61,3,7,Slide32.bmp,1
61,4,1,Slide32.bmp,1
61,5,9,Slide32.bmp,1
61,6,9,Slide32.bmp,1
62,1,9,Slide32.bmp,2
62,2,9,Slide32.bmp,2
62,3,5,Slide32.bmp,2
62,4,9,Slide32.bmp,2
62,5,9,Slide32.bmp,2
62,6,9,Slide32.bmp,2
63,1,9,Slide32.bmp,3
63,2,7,Slide32.bmp,3
63,3,5,Slide32.bmp,3
63,4,6,Slide32.bmp,3
63,5,8,Slide32.bmp,3
63,6,5,Slide32.bmp,3
64,1,1,Slide32.bmp,4
64,2,3,Slide32.bmp,4
64,3,4,Slide32.bmp,4
64,4,6,Slide32.bmp,4
64,5,1,Slide32.bmp,4
64,6,4,Slide32.bmp,4
65,1,5,Slide32.bmp,5
65,2,7,Slide32.bmp,5
65,3,5,Slide32.bmp,5
65,4,5,Slide32.bmp,5
65,5,7,Slide32.bmp,5
65,6,5,Slide32.bmp,5
66,1,4,Slide32.bmp,1
66,2,4,Slide32.bmp,1
66,3,4,Slide32.bmp,1
66,4,6,Slide32.bmp,1
66,5,4,Slide32.bmp,1
66,6,5,Slide32.bmp,1
67,1,9,Slide32.bmp,2
67,2,1,Slide32.bmp,2
67,3,2,Slide32.bmp,2
67,4,9,Slide32.bmp,2
67,5,9,Slide32.bmp,2
67,6,9,Slide32.bmp,2
68,1,9,Slide32.bmp,3
68,2,9,Slide32.bmp,3
68,3,9,Slide32.bmp,3
68,4,5,Slide32.bmp,3
68,5,9,Slide32.bmp,3
68,6,9,Slide32.bmp,3
69,1,5,Slide32.bmp,4
69,2,3,Slide32.bmp,4
69,3,2,Slide32.bmp,4
69,4,3,Slide32.bmp,4
69,5,4,Slide32.bmp,4
69,6,6,Slide32.bmp,4
70,1,9,Slide32.bmp,5
70,2,3,Slide32.bmp,5
70,3,7,Slide32.bmp,5
70,4,8,Slide32.bmp,5
70,5,6,Slide32.bmp,5
70,6,9,Slide32.bmp,5
71,1,6,Slide32.bmp,1
71,2,8,Slide32.bmp,1
71,3,8,Slide32.bmp,1
71,4,8,Slide32.bmp,1
71,5,7,Slide32.bmp,1
71,6,5,Slide32.bmp,1
72,1,1,Slide32.bmp,2
72,2,6,Slide32.bmp,2
72,3,7,Slide32.bmp,2
72,4,7,Slide32.bmp,2
72,5,8,Slide32.bmp,2
72,6,8,Slide32.bmp,2
73,1,1,Slide32.bmp,3
73,2,9,Slide32.bmp,3
73,3,5,Slide32.bmp,3
73,4,9,Slide32.bmp,3
73,5,9,Slide32.bmp,3
73,6,9,Slide32.bmp,3
74,1,3,Slide32.bmp,4
74,2,5,Slide32.bmp,4
74,3,4,Slide32.bmp,4
74,4,7,Slide32.bmp,4
74,5,6,Slide32.bmp,4
74,6,7,Slide32.bmp,4
75,1,3,Slide32.bmp,5
75,2,8,Slide32.bmp,5
75,3,5,Slide32.bmp,5
75,4,6,Slide32.bmp,5
75,5,5,Slide32.bmp,5
75,6,5,Slide32.bmp,5
76,1,8,Slide32.bmp,1
76,2,8,Slide32.bmp,1
76,3,5,Slide32.bmp,1
76,4,8,Slide32.bmp,1
76,5,8,Slide32.bmp,1
76,6,5,Slide32.bmp,1
77,1,9,Slide32.bmp,2
77,2,9,Slide32.bmp,2
77,3,9,Slide32.bmp,2
77,4,9,Slide32.bmp,2
77,5,5,Slide32.bmp,2
77,6,9,Slide32.bmp,2
78,1,1,Slide32.bmp,3
78,2,3,Slide32.bmp,3
78,3,6,Slide32.bmp,3
78,4,8,Slide32.bmp,3
78,5,1,Slide32.bmp,3
78,6,9,Slide32.bmp,3
79,1,3,Slide32.bmp,4
79,2,2,Slide32.bmp,4
79,3,3,Slide32.bmp,4
79,4,2,Slide32.bmp,4
79,5,3,Slide32.bmp,4
79,6,3,Slide32.bmp,4
80,1,5,Slide32.bmp,5
80,2,7,Slide32.bmp,5
80,3,7,Slide32.bmp,5
80,4,7,Slide32.bmp,5
80,5,5,Slide32.bmp,5
80,6,5,Slide32.bmp,5
81,1,9,Slide32.bmp,1
81,2,5,Slide32.bmp,1
81,3,7,Slide32.bmp,1
81,4,8,Slide32.bmp,1
81,5,8,Slide32.bmp,1
81,6,7,Slide32.bmp,1
82,1,7,Slide32.bmp,2
82,2,7,Slide32.bmp,2
82,3,9,Slide32.bmp,2
82,4,5,Slide32.bmp,2
82,5,7,Slide32.bmp,2
82,6,6,Slide32.bmp,2
83,1,5,Slide32.bmp,3
83,2,8,Slide32.bmp,3
83,3,6,Slide32.bmp,3
83,4,3,Slide32.bmp,3
83,5,2,Slide32.bmp,3
83,6,4,Slide32.bmp,3
84,1,9,Slide32.bmp,4
84,2,6,Slide32.bmp,4
84,3,5,Slide32.bmp,4
84,4,7,Slide32.bmp,4
84,5,7,Slide32.bmp,4
84,6,7,Slide32.bmp,4
85,1,1,Slide32.bmp,5
85,2,5,Slide32.bmp,5
85,3,3,Slide32.bmp,5
85,4,1,Slide32.bmp,5
85,5,2,Slide32.bmp,5
85,6,4,Slide32.bmp,5
86,1,9,Slide32.bmp,1
86,2,9,Slide32.bmp,1
86,3,1,Slide32.bmp,1
86,4,9,Slide32.bmp,1
86,5,9,Slide32.bmp,1
86,6,5,Slide32.bmp,1
87,1,1,Slide32.bmp,2
87,2,5,Slide32.bmp,2
87,3,5,Slide32.bmp,2
87,4,9,Slide32.bmp,2
87,5,9,Slide32.bmp,2
87,6,5,Slide32.bmp,2
88,1,1,Slide32.bmp,3
88,2,4,Slide32.bmp,3
88,3,7,Slide32.bmp,3
88,4,6,Slide32.bmp,3
88,5,7,Slide32.bmp,3
88,6,6,Slide32.bmp,3
89,1,2,Slide32.bmp,4
89,2,8,Slide32.bmp,4
89,3,5,Slide32.bmp,4
89,4,7,Slide32.bmp,4
89,5,9,Slide32.bmp,4
89,6,7,Slide32.bmp,4
90,1,9,Slide32.bmp,5
90,2,3,Slide32.bmp,5
90,3,9,Slide32.bmp,5
90,4,5,Slide32.bmp,5
90,5,9,Slide32.bmp,5
90,6,9,Slide32.bmp,5
91,1,9,Slide32.bmp,1
91,2,7,Slide32.bmp,1
91,3,7,Slide32.bmp,1
91,4,8,Slide32.bmp,1
91,5,9,Slide32.bmp,1
91,6,7,Slide32.bmp,1
92,1,1,Slide32.bmp,2
92,2,1,Slide32.bmp,2
