Subj,Cond,Block,Trial,Order,Resp,Name,Stim,RT,load,maspref,vmaspref,nfcp,nfcn,fii,icp,icn,nfc,ic
4,1,1,40,25,3,3,Slide32.bmp,2710,6,0,7,7,6,19,15,15,1,0
,,,,,,,,,,,,,,,,,,
4,1,1,10,22,2,2,Slide20.bmp,1435,6,2,0,7,6,19,15,15,1,0
,,,,,,,,,,,,,,,,,,
4,1,1,62,21,8,8,Slide28.bmp,1641,6,8,0,7,6,19,15,15,1,0
,,,,,,,,,,,,,,,,,,
4,1,1,27,17,3,3,Slide32.bmp,1196,1,0,3,7,6,19,15,15,1,0
,,,,,,,,,,,,,,,,,,
4,1,1,24,14,3,3,Slide23.bmp,3461,1,7,0,7,6,19,15,15,1,0
,,,,,,,,,,,,,,,,,,
4,1,1,37,13,3,3,Slide25.bmp,2077,1,7,0,7,6,19,15,15,1,0
,,,,,,,,,,,,,,,,,,
4,1,1,14,9,7,7,Slide32.bmp,2969,2,0,3,7,6,19,15,15,1,0
,,,,,,,,,,,,,,,,,,
4,1,1,23,6,3,3,Slide22.bmp,4284,2,3,0,7,6,19,15,15,1,0
,,,,,,,,,,,,,,,,,,
4,1,1,50,5,6,6,Slide27.bmp,7129,2,4,0,7,6,19,15,15,1,0
,,,,,,,,,,,,,,,,,,
5,1,1,53,33,7,7,Slide32.bmp,635,2,0,7,5,7,22,18,13,-2,5
,,,,,,,,,,,,,,,,,,
5,1,1,62,30,7,7,Slide28.bmp,3225,2,7,0,5,7,22,18,13,-2,5
,,,,,,,,,,,,,,,,,,
5,1,1,50,29,3,3,Slide27.bmp,6090,2,7,0,5,7,22,18,13,-2,5
,,,,,,,,,,,,,,,,,,
5,1,1,40,25,2,2,Slide32.bmp,540,1,0,8,5,7,22,18,13,-2,5
,,,,,,,,,,,,,,,,,,
5,1,1,23,22,5,5,Slide22.bmp,3191,1,5,0,5,7,22,18,13,-2,5
,,,,,,,,,,,,,,,,,,
5,1,1,36,21,6,6,Slide24.bmp,6116,1,6,0,5,7,22,18,13,-2,5
,,,,,,,,,,,,,,,,,,
5,1,1,14,9,7,7,Slide32.bmp,4297,4,0,3,5,7,22,18,13,-2,5
,,,,,,,,,,,,,,,,,,
5,1,1,63,6,2,2,Slide29.bmp,5251,4,8,0,5,7,22,18,13,-2,5
,,,,,,,,,,,,,,,,,,
5,1,1,24,5,5,5,Slide23.bmp,22392,4,5,0,5,7,22,18,13,-2,5
,,,,,,,,,,,,,,,,,,
6,1,1,66,41,3,3,Slide32.bmp,2437,1,0,7,8,3,17,17,13,5,4
,,,,,,,,,,,,,,,,,,
6,1,1,10,38,6,6,Slide20.bmp,3769,1,6,0,8,3,17,17,13,5,4
,,,,,,,,,,,,,,,,,,
6,1,1,24,37,4,4,Slide23.bmp,6445,1,6,0,8,3,17,17,13,5,4
,,,,,,,,,,,,,,,,,,
6,1,1,53,33,9,9,Slide32.bmp,1421,7,0,9,8,3,17,17,13,5,4
,,,,,,,,,,,,,,,,,,
6,1,1,23,30,5,5,Slide22.bmp,3990,7,5,0,8,3,17,17,13,5,4
,,,,,,,,,,,,,,,,,,
6,1,1,37,29,3,3,Slide25.bmp,3590,7,7,0,8,3,17,17,13,5,4
,,,,,,,,,,,,,,,,,,
6,1,1,27,17,9,9,Slide32.bmp,1874,2,0,9,8,3,17,17,13,5,4
,,,,,,,,,,,,,,,,,,
6,1,1,49,14,4,4,Slide26.bmp,9263,2,4,0,8,3,17,17,13,5,4
,,,,,,,,,,,,,,,,,,
6,1,1,36,13,4,4,Slide24.bmp,15218,2,4,0,8,3,17,17,13,5,4
,,,,,,,,,,,,,,,,,,
6,1,1,14,9,9,9,Slide32.bmp,6278,6,0,1,8,3,17,17,13,5,4
,,,,,,,,,,,,,,,,,,
6,1,1,62,6,7,7,Slide28.bmp,8436,6,7,0,8,3,17,17,13,5,4
,,,,,,,,,,,,,,,,,,
6,1,1,11,5,5,5,Slide21.bmp,11666,6,5,0,8,3,17,17,13,5,4
,,,,,,,,,,,,,,,,,,
7,1,1,27,17,9,9,Slide32.bmp,1766,4,0,9,7,8,22,15,13,-1,2
,,,,,,,,,,,,,,,,,,
7,1,1,50,14,4,4,Slide27.bmp,8020,4,6,0,7,8,22,15,13,-1,2
,,,,,,,,,,,,,,,,,,
7,1,1,11,13,6,6,Slide21.bmp,7159,4,4,0,7,8,22,15,13,-1,2
,,,,,,,,,,,,,,,,,,
7,1,1,14,9,9,9,Slide32.bmp,3193,1,0,1,7,8,22,15,13,-1,2
,,,,,,,,,,,,,,,,,,
7,1,1,37,6,2,2,Slide25.bmp,8871,1,8,0,7,8,22,15,13,-1,2
,,,,,,,,,,,,,,,,,,
